story_qn,answer_text
How can I rename a document?,"❕ There is a character limit for the name 
    of the document.

1. Navigate to the Tasks screen.
2. Choose the 📤 button.
    → The Documents of Task ""xy"" window 
          is displayed.
3. Choose the ✏️ button.
4. Change the name of the document.
5. Choose the ""Save"" button.
6. Choose the ""Close"" button.

Congratulations, you changed the name of your document ✔️
Wasn’t that easy? 😊"
How can I delete a document?,"1. Navigate to the Documents of Task window.
2. Choose the 📤 button.
     → The Documents of Task ""xy"" window 
           is displayed.

⚠️The document is deleted immediately, 
       when you choose the 🗑 button.

3. Choose the 🗑 button.

Congratulations, you deleted the document ✔️
Simple, isn’t it! 😊"
delete file,
How can I delete a file?,
How can I replace a document with a new version?,"1. Navigate to the Tasks screen.
2. Choose the 📤 button.
     → The Documents of Task ""xy"" window 
          is displayed.
3. Choose the 🔁 button.
4. Select a new version of the document 
    from your PC.

❕ The link to the Sirius document will not 
   point to the latest version of the 
   document. 

Congratulations, a new version of the document is 
uploaded ✔️ 

Congratulations, the old versions are displayed 
underneath ✔️
Wasn’t that easy? 😊"
How can I upload a new document version,
new file version,
How can I change a file?,
new document version,
How can I change a document?,
How can I make a document confidential?,"1. Navigate to the Tasks screen.
2. Choose the 📤 button.

→ The Documents of Task ""xy"" window 
      is displayed.

3. Choose the 🔓 button.

Congratulations, the document is switched to confidential  ✔️ 
Congratulations, the document is marked as  🔒 ✔️ 
Wasn’t that easy? 😊"
How can I make a file confidential?,
How can I make a document non-confidential?,"1. Navigate to the Tasks screen.
2. Choose the 📤 button.
     → The Documents of Task ""xy"" window 
           is displayed.

3. Choose the 🔒 button.
 
Congratulations, the document is switched to non-confidential  ✔️ 
Congratulations, the document is marked as  🔓 ✔️ 
Wasn’t that easy? 😊"
How can I make a file non-confidential?,
How can I make a file visible for all?,
My document is not visible for all,
How can I manage my comments in a task?,"Adding comments is a great thing 😊
There are some additional features to manage a comment within your task:
- **Comment History**: Previous comments on the task are displayed with the following information:
      - Date of creation
      - Creator
      - Comment-content
- **Comments from previous delivery**: Comments on the task from a previous release are displayed with the following information:
      - Date of creation
      - Creator
      - Comment-content"
Where is the excel download?,"To export information, head over to this quick **guides**:
- [Export a program release plan to excel](https://wiki.wdf.sap.corp/wiki/x/khcLeg)
- [Export a delivery release plan to excel](https://wiki.wdf.sap.corp/wiki/x/TxYLeg)
- [Export a delivery task list to excel](https://wiki.wdf.sap.corp/wiki/x/RBYLeg)
- [Export product standard requirements to excel](https://wiki.wdf.sap.corp/wiki/x/VBYLeg)
Happy exploring! 😊"
Where is the excel download?,
not able to find download button in release plan,
how to download product standards,
Export a program release plan to excel,
Export the product standard main plan to excel,
Export all product standard subplans to excel,
I am not able find the download option,
How can I download this table in excel format,
How can I downlaod a file?,
can i download the product standards to an excel file?,
Export product standard requirements to excel,
Export a single product standard subplan to excel,
excel,
Where is the excel export?,
I need an excel file?,
How can I download?,
Export a delivery task list to excel,
Export the aggregated product standard subplan to excel,
How can I download an excel?,
excel export,
i need a powerpoint,
"Hello, is it possible to extract the Task information into an Excel file?",
Export a delivery release plan to excel,
What is PPMS?,"Let me give you a short definition 📝 
The **Product and Production Management System** (PPMS) is the central knowledge repository for technical information on SAP software components and software products and the foundation for more than 85+ internal and customer tools, services and processes. PPMS is directly used by ~2,400 different users each month. PPMS data and logic is indirectly used by ~100,000 different users monthly via the connected tools and services. The PPMS generates a unique ID for each product as well as product version. These IDs are replicated to the Semaphore Workbench, also known as SAP Taxonomy. For documentation deliverables to be not only found, but also correctly classified by SAP Search, these IDs have to be entered in the docu project metadata.
The PPMS documentation can be found [here](https://wiki.wdf.sap.corp/wiki/display/ppmscont/Home)."
How can I assign a PPMS object?,"**Precondition:** The PPMS attributes must be the same as the delivery attributes.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Objects 
    (PPMS) screen.
3. Choose the ""Assign PPMS Object(s)"" 
    button.
     → The Add PPMS Object to Delivery 
           window is displayed.
4. Search for a PPMS object.
     → All available PPMS objects are 
          displayed.

❕ Objects displayed in italics are already 
    linked to Sirius delivery.

5. Choose a PPMS object.
    → All relevant information according to 
        the PPMS object is displayed.
6. Choose the ""Add"" button.

Congratulations, you assigned a PPMS object✔️
Simple, isn’t it! 😊"
Assign a PPMS object,
How can I unassign a PPMS object?,"**Precondition:** There must be a PPMS object available.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Objects 
     (PPMS) screen.
3. Navigate to the PPMS object you 
     want to delete.
4. Choose the 🗑 button.
5. Choose the ""Yes"" button.

Congratulations, you unassigned the PPMS object✔️
Simple, isn’t it! 😊"
Unassign a PPMS object,
How can I display PPMS object details?,"**Precondition:** There must be a PPMS object available.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Objects 
     (PPMS) screen.
3. Choose an assigned PPMS object.

Congratulations, the PPMS object details are displayed✔️
Wasn’t that easy? 😊"
Display PPMS object details,
How can I synchronize RTC into PPMS?,"For synchronizing the RTC into PPMS there are a few things you need to know 😊
⚠️ This only applies for the assigned 
       Product Versions.

⚠️ The assigned Product Versions must 
       have the same RTC date.

❕ If the PPMS object is locked, the RTC 
    date will not be synchronized.

❕ There is only a RTC synchronisation for 
    the first Product Version assignment, 
    subsequent assignments do not transfer 
    data to PPMS.

If the a RTC date is maintained in Sirius, it is synchronized in real-time to all assigned PPMS Product Versions.
Sirius is here the leading system.

→ The RTC is not editable in PPMS, if the PV is assigned to a Sirius delivery."
RTC synchronization into PPMS,
Where can I synchronize RTC into PPMS?,
How can I synchronize milestones into PPMS?,"If you set a RTC date or a GA date in Sirius that does not match the according date in PPMS, there is a request if you would like to overwrite the date in PPMS. Sirius is always the leading tool. The data in PPMS can be overwritten by the data in Sirius, not the other way around.
Simple, isn’t it! 😊"
How to sync ga with PPMS?,
Where can I synchronize milestones into PPMS?,
Synchronize milestones into PPMS,
What are the service pack details?,"For information on the service pack details, please [follow me](https://wiki.wdf.sap.corp/wiki/display/ppmscont/Home)."
What is SAP JIRA?,"Let me give you a short definition 📝 
**SAP JIRA** is a JIRA instance dedicated to backlog management. It is integrated into the tool landscape and supports some corporate requirements like IP compliance and tracability. To enable the product owners to break down their backlog from coarse grain to fine grain fitting into a sprint, it has the Hierarchy and Ranking Plug-in developed by SAP. SAP JIRA has several integrations to other tools like BCP, Test Workbench, cProjects and Sirius.
The SAP JIRA documentation can be found [here](https://wiki.wdf.sap.corp/wiki/display/SAPJira/Documentation%3A+SAP+Jira)."
How can I set a delivery distribution to SAP JIRA?,"In order to simplify the activation of the distribution of Sirius deliveries to SAP JIRA, as soon as a SAP JIRA project (created via Artemis or cPro) is linked to a Sirius program or delivery, all new and active deliveries of the linked program are pushed to SAP JIRA.

The activation from the Sirius is not necessary anymore and therefore removed from the UI.

Isn't that great! 😊
"
